	parent	child	lambda_val	child_size
292	612	531	15.390654536565602	1
293	629	213	7.097383955236533	1
294	623	509	1.7608237044594193	1
295	614	634	5.672229739205248	20
296	614	635	5.672229739205248	11
297	625	377	9.531083232878307	1
298	632	434	4.9984053675092825	1
299	633	418	3.888842741646826	1
300	631	598	3.2389248903121755	1
301	608	460	10.848326794680684	1
302	612	239	15.390654536565602	1
303	629	13	7.613686900134275	1
304	623	636	1.796137402178333	54
305	623	637	1.796137402178333	136
306	634	496	5.672229739205248	1
307	635	177	6.515330672802646	1
308	625	372	9.712722716860679	1
309	632	159	5.688248908567223	1
310	633	444	4.001963274762969	1
311	631	315	3.283557027725234	1
312	608	212	10.941690364153802	1
313	612	563	15.642892270326962	1
314	629	390	8.00289215019812	1
315	636	323	1.8012859769223464	1
316	637	638	1.8804812666185422	81
317	637	639	1.8804812666185422	55
318	634	519	6.511680655533795	1
319	635	605	7.235102687586046	1
320	625	289	9.809913588511577	1
321	632	472	5.7549554452353116	1
322	633	75	4.026475580823059	1
323	631	640	3.369883550383989	4
324	631	641	3.369883550383989	20
325	608	368	11.18401840660635	1
326	608	358	11.18401840660635	1
327	612	328	15.821166682341289	1
328	629	7	8.061322309821334	1
329	636	411	1.8356289767167895	1
330	638	604	1.8804812666185422	1
331	639	586	2.4203590678068463	1
332	634	448	6.710517717062666	1
333	635	187	7.4094348840215485	1
334	625	272	10.171585419448496	1
335	625	560	10.171585419448496	1
336	625	453	10.171585419448496	1
337	625	457	10.171585419448496	1
338	632	39	7.285805197531864	1
339	633	16	4.255724918865815	1
340	640	229	3.369883550383989	1
341	640	226	3.369883550383989	1
342	640	59	3.369883550383989	1
343	640	267	3.369883550383989	1
344	641	123	3.4592336196910374	1
345	608	536	11.18401840660635	1
346	612	160	16.974531287040893	1
347	612	521	16.974531287040893	1
348	612	385	16.974531287040893	1
349	612	22	16.974531287040893	1
350	629	349	8.259823469640217	1
351	636	396	1.9280766051434965	1
352	638	150	1.9889051706846528	1
353	639	157	2.5131222935024438	1
354	634	595	6.750595616100063	1
355	635	140	7.561807302302152	1
356	632	554	7.535206333426539	1
357	633	360	4.310434080068439	1
358	641	219	3.747460188546985	1
359	608	347	11.248914054733891	1
360	629	286	8.570001638945161	1
361	636	243	1.932142332461418	1
362	638	32	2.0958369598038273	1
363	639	57	3.002169747395818	1
364	634	593	6.769076829972301	1
365	635	141	7.565857296261308	1
366	632	297	7.993422220986891	1
367	633	319	4.486916104931468	1
368	641	555	3.8833562078759774	1
369	608	304	11.340807785312478	1
370	608	466	11.340807785312478	1
371	608	369	11.340807785312478	1
372	608	458	11.340807785312478	1
373	629	73	8.90450448498851	1
374	636	518	1.998837192348236	1
375	638	180	2.0958369598038273	1
376	639	642	3.3122586356373396	39
377	639	643	3.3122586356373396	13
378	634	295	7.082700240903867	1
379	635	54	7.606657100820644	1
380	632	500	8.28263864102491	1
381	633	552	4.659616180543039	1
382	641	335	4.2293445198599695	1
383	629	77	8.966605960634794	1
384	636	155	2.119704811497843	1
385	638	81	2.2129277442331596	1
386	642	485	3.3122586356373396	1
387	643	200	4.219396507773576	1
388	634	273	7.328119772473232	1
389	635	580	7.611129774289349	1
390	632	524	9.39391343042565	1
391	633	49	4.688372894108369	1
392	641	435	4.307856794031143	1
393	629	235	9.258607019548696	1
394	629	178	9.258607019548696	1
395	629	426	9.258607019548696	1
396	629	534	9.258607019548696	1
397	636	644	2.142141317876617	31
398	636	645	2.142141317876617	17
399	638	47	2.2143808383024233	1
400	642	363	3.5008970176730183	1
401	643	215	4.389812348204981	1
402	634	230	7.509927061470441	1
403	635	387	7.6749537091610724	1
404	635	427	7.6749537091610724	1
405	635	298	7.6749537091610724	1
406	635	510	7.6749537091610724	1
407	632	34	10.145878223117712	1
408	633	449	4.921516545023968	1
409	641	161	5.092477356114752	1
410	644	292	2.142141317876617	1
411	645	118	2.4069987822254064	1
412	638	405	2.2408880300464533	1
413	642	101	3.6591669738435613	1
414	643	468	8.639488027661347	1
415	634	557	7.589625495714146	1
416	632	551	10.410914464093771	1
417	633	134	5.142847823992913	1
418	641	520	5.280615077831014	1
419	644	317	2.201614046738076	1
420	645	97	2.5027732266262825	1
421	638	71	2.4582823594358834	1
422	642	506	4.239260774798284	1
423	643	336	8.639488027661347	1
424	634	199	7.913680310500736	1
425	632	511	10.454301072272164	1
426	632	281	10.454301072272164	1
427	632	186	10.454301072272164	1
428	632	428	10.454301072272164	1
429	633	221	5.16092795859412	1
430	641	17	5.775442454134404	1
431	644	185	2.54182058590684	1
432	645	64	2.935265896317874	1
433	638	172	2.462944534272934	1
434	642	100	4.30916161349578	1
435	643	241	8.748672586917715	1
436	634	523	8.246272333047251	1
437	633	24	5.321245637154455	1
438	641	282	6.1204972807379345	1
439	644	326	3.2994644277721026	1
440	645	357	3.5699276835314406	1
441	638	202	2.6114504908886618	1
442	642	270	4.491323593515942	1
443	643	82	8.833474735986051	1
444	634	15	8.27049876380187	1
445	633	490	5.474471664150482	1
446	641	452	6.154500152618717	1
447	644	198	3.370043390559627	1
448	645	245	3.883660787688418	1
449	638	406	2.6292822379560934	1
450	642	86	4.552727454245894	1
451	643	146	9.175616321885004	1
452	634	280	8.5471357535341	1
453	633	526	5.658844879672287	1
454	641	522	7.483864242863098	1
455	644	494	3.733520943211206	1
456	645	19	4.633116903273611	1
457	638	182	2.6473274434388214	1
458	642	2	4.70587139631483	1
459	643	331	10.242677118054972	1
460	634	365	8.675950044087887	1
461	633	94	5.729108392265009	1
462	641	256	7.62022673451144	1
463	644	31	3.749052297518048	1
464	645	55	5.300671655631066	1
465	638	318	2.693622343637314	1
466	642	63	4.78567198368815	1
