Uniprot ID	P1_2nd_1	P1_2nd_2	P1_2nd_3	P1_2nd_4	P1_2nd_5	P1_2nd_6	P1_2nd_7	P1_2nd_8	P1_2nd_9	P1_2nd_10	P1_2nd_11	P1_2nd_12	P1_2nd_13	P1_2nd_14	P1_2nd_15	P1_2nd_16	P1_2nd_17	P1_2nd_18	P1_2nd_19	P1_2nd_20	P1_2nd_21	P1_2nd_22	P1_2nd_23	P1_2nd_24	P1_2nd_25	P1_2nd_26	P1_2nd_27	P1_2nd_28	P1_2nd_29	P1_2nd_30	P1_2nd_31	P1_2nd_32	P1_2nd_33	P1_2nd_34	P1_2nd_35	P1_2nd_36	P1_2nd_37	P1_2nd_38	P1_2nd_39	P1_2nd_40	P1_2nd_41	P1_2nd_42	P1_2nd_43	P1_2nd_44	P1_2nd_45	P1_2nd_46	P1_2nd_47	P1_2nd_48	P1_2nd_49	P1_2nd_50	P1_2nd_51	P1_2nd_52	P1_2nd_53	P1_2nd_54	P1_2nd_55	P1_2nd_56	P1_2nd_57	P1_2nd_58	P1_2nd_59	P1_2nd_60	P1_2nd_61	P1_2nd_62	P1_2nd_63	P1_2nd_64	P1_2nd_65	P1_2nd_66	P1_2nd_67	P1_2nd_68
A6NDG6	0	0	0	0	0	1622813.551	7029405.2	4755741.263	3320199.454	3479002.047	12129346.88	1172784.78	1777916.356	2302685.652	5293099.448	2985536.803	4591821.43	3894627.594	2647750.954	3221458.356	0	0	0	1160364.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NGP5	0	0	0	0	855275.6915	3019171.24	2850038.07	3268306.322	3165240.796	1947674.166	1660460.096	0	1952767.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NGW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575461.1977	0	0	0
A6NHV6	0	0	0	310517.9301	643522.8841	417787.7605	441956.5062	0	0	0	0	0	0	906976.6266	0	1228209.527	3463133.8	5437727.528	8596978.993	5890591.202	8537381.172	12213096.63	460743.7419	7785795.646	5792018.276	7338481.654	203339.3932	7871251.141	403973.6166	3091160.948	5778348.28	457164.0768	2923409.192	5389654.308	3332927.686	3622647.522	3912367.357	4202087.193	4491807.028	1959979.565	213429.7244	293196.1949	357774.3145	232238.5822	0	0	0	0	0	0	0	0	310277.6841	0	0	0	248678.6147	0	0	0	0	0	0	0	0	0	0	0
A6NJ78	0	0	0	0	715140.2109	0	1070824.385	0	3344584.421	10384200.08	14317435.2	20665719.02	10363226.6	12639725.44	3129804.514	3156375.72	9267032.24	4269483.398	0	0	0	0	0	1664784.524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076157.846	0	0	0	862026.6036	2106116.39	0	0	0	0	0	194690.5379	194784.2338	0	0	0	0	0
A6NLH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701566.313	1863347.827	2509849.761	11453246.64	5456706.961	3273111.242	2991542.952	2313905.139	0	1184268.538	1572914.461	0	1078848.601	620315.1223	1207236.053	603618.0267	0	0	0	0	0	0	0	0	0	0	0	0	644171.5482	0	0	0	0	0	0	0	520348.7697	0	0	320992.6549	757255.3313	199978.3519	0	1544373.238	447217.8932	508816.9626	263501.7917	249014.9591	312487.9472	426268.4437	0	398087.5901	0	0
A6NNL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534162.9136	0	0	0	0	0	573010.6887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6QKW0	0	0	0	0	0	1115894.531	6529981.855	6834685.833	22211173.36	20642222.96	27395201.14	31808543.83	9214514.469	95905258.56	90024253.17	113783908	159268910.7	253441851.6	259692595.6	437373958.3	305004861.5	171833054.8	83839000.27	104015386.3	14017944.56	119405039.3	62947257.84	61516136.55	73114828.11	80924155.85	88733483.59	45154256.11	58389347.13	71624438.14	50451079.37	49291394	48131708.63	46972023.27	45812337.9	100455973.9	59587489.87	63680969.06	69400625.25	107439203.8	15725108.47	35737190.25	46210809.88	56684429.51	86166455.29	46579106.97	24806478.62	38264794.19	16885856.93	18019962.11	15571927.64	16401136.64	12026641.72	21500982.22	15753962.02	4850950.745	2808365.002	6521669.344	6847130.575	20130234.75	20767847.59	6977848.413	2969872.765	2969872.765
A6ZGN8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1626801.634	834710.6355	1781039.554	563016.4559	577022.7966	824848.538	1072674.279	1652940.397	1016600.868	0	0	0	699980.6895	757928.0201	1025634.116	12367863.09	0	3809580.517	3251489.104	1465572.556	1103714.06	752258.2149	934436.7422	0	0	0	0
A6ZKI3	3758071.779	2572013.408	1385955.038	956779.6184	258865.0443	512204.431	263501.7917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146946.4541	293892.9083	438328.7919	328746.5939	219164.3959	109582.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
