Uniprot ID	iBAQ WT_4_72	iBAQ WT_4_01	iBAQ WT_4_02	iBAQ WT_4_03	iBAQ WT_4_04	iBAQ WT_4_05	iBAQ WT_4_06	iBAQ WT_4_07	iBAQ WT_4_08	iBAQ WT_4_09	iBAQ WT_4_10	iBAQ WT_4_11	iBAQ WT_4_12	iBAQ WT_4_13	iBAQ WT_4_14	iBAQ WT_4_15	iBAQ WT_4_16	iBAQ WT_4_17	iBAQ WT_4_18	iBAQ WT_4_19	iBAQ WT_4_20	iBAQ WT_4_21	iBAQ WT_4_22	iBAQ WT_4_23	iBAQ WT_4_24	iBAQ WT_4_25	iBAQ WT_4_26	iBAQ WT_4_27	iBAQ WT_4_28	iBAQ WT_4_29	iBAQ WT_4_30	iBAQ WT_4_31	iBAQ WT_4_32	iBAQ WT_4_33	iBAQ WT_4_34	iBAQ WT_4_35	iBAQ WT_4_36	iBAQ WT_4_37	iBAQ WT_4_38	iBAQ WT_4_39	iBAQ WT_4_40	iBAQ WT_4_41	iBAQ WT_4_42	iBAQ WT_4_43	iBAQ WT_4_44	iBAQ WT_4_45	iBAQ WT_4_46	iBAQ WT_4_47	iBAQ WT_4_48	iBAQ WT_4_49	iBAQ WT_4_50	iBAQ WT_4_51	iBAQ WT_4_52	iBAQ WT_4_53	iBAQ WT_4_54	iBAQ WT_4_55	iBAQ WT_4_56	iBAQ WT_4_57	iBAQ WT_4_58	iBAQ WT_4_59	iBAQ WT_4_60	iBAQ WT_4_61	iBAQ WT_4_62	iBAQ WT_4_63	iBAQ WT_4_64	iBAQ WT_4_65	iBAQ WT_4_66	iBAQ WT_4_67	iBAQ WT_4_68	iBAQ WT_4_69	iBAQ WT_4_70	iBAQ WT_4_71
Q9Y2C4;F8WE28;F8WE38;H7C0W6;F2Z2D3;F8WEP0;H7C451;F8WC11	0	0	0	0	0	0	0	0	0	0	0	0	61555	0	0	0	0	284850	397950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	980520	0	0	0	553280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y2Q3;E9PFN5	6915100	0	0	0	0	0	0	0	479430	857790	289570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545350	993350	1601700	1283900	1890900
Q9Y2Q9;H0YAT2;H7C5V3;E5RGC7;E5RFH3;E5RK86;U3KQQ8;E5RFT8	0	0	0	0	0	0	0	635460	963570	2087000	2944800	4449700	20288000	33427000	25127000	52085000	79491000	112030000	66300000	62155000	4485600	24334000	15746000	6829200	6686800	3589800	1818800	1721300	1182300	823140	0	633470	534280	0	0	363420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284210	0	0
Q9Y2R0;K7EPV0	0	0	985170	0	0	0	0	0	1014000	0	1010500	721600	907190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1849100	0	6291000	0	12859000	11348000	8090800	11148000	10248000	2285600	14918000	35656000	40006000	71658000	44110000	41403000	56073000	15109000	11077000	1374200	827840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y2S7;B4DEM9	0	85473	0	0	0	0	0	127420	0	0	99370	0	0	0	0	0	219120	0	183760	398260	0	0	0	0	0	0	0	185470	0	0	0	0	0	0	0	0	0	0	0	107160	0	0	0	0	0	0	0	0	0	0	0	0	0	188350	231340	210980	196510	0	0	0	0	0	0	0	195510	166660	1505900	5019400	7826900	4561800	873800	99134
Q9Y2Z2;H0YC00;H7C2S9;E7EWX0;H0YBI9;E9PHR8;H0YB81;E7EWI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31571	0	0	0	0	0	0	183660	327400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y2Z4;H0YHS6	0	435200	0	0	0	558140	1508600	899600	1429900	1688600	758300	643020	1333000	457960	758380	765250	963940	988670	512730	0	91414	667120	267310	265430	310950	0	317910	325590	473180	642160	800580	0	370820	356580	0	217620	0	416820	298310	147280	427120	435810	0	234360	0	340220	257580	397170	0	2219900	3375800	2671500	593600	946770	87116	0	0	0	178620	964740	1857100	1707500	3310900	2998000	5528000	210970	625140	0	0	0	0	0
Q9Y2Z9;A0A0D9SFJ1;G3V2L5;G3V4A6;G3V434;G3V3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	611780	360440	438380	707940	641000	1121000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741270	0	843530	257720	76226	0	0	0
Q9Y305;H7C5Q2;C9J7L8	0	0	0	0	0	0	0	0	0	0	0	0	398600	226310	167240	0	0	0	0	0	0	0	0	0	0	0	0	150360	0	0	465440	0	350700	761610	380840	3227200	1460000	3670100	3429700	6342200	16067000	34744000	57864000	49183000	9968800	2602700	2287000	1353800	165370	0	0	0	0	679720	0	175970	0	0	0	0	0	0	0	12296	978820	0	250410	102520	0	0	0	0
Q9Y375;H0YL22;H0YNN4;H0YNB7	0	0	0	0	0	0	0	0	0	0	0	0	0	793510	800710	382990	0	1040800	0	2022900	1673800	2881800	6596000	34763000	8832100	384870	0	1383000	2187800	3233600	12483000	23751000	22320000	5379500	208390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y399;Q5T8A0	0	0	0	0	0	0	0	1127300	3399900	4542200	6639600	10271000	24961000	47638000	46500000	62699000	100020000	120300000	116450000	83619000	16644000	45274000	31247000	26140000	21518000	23188000	18990000	16160000	14112000	7426700	5310400	5116000	896400	1759800	1291100	1978100	413100	537340	0	0	469790	901140	0	0	0	0	0	0	0	769710	296270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y3B7;E9PQB6;H0YCD5	0	0	0	0	0	0	0	0	1368700	731800	2080200	4028000	8825800	11816000	3379300	3355300	1123900	1114200	346230	0	106080	328700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244230	3981400	1452800	12935000	23388000	17112000	9926500	581190	0
Q9Y3D2;H0YE51	459090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y3D3;A6ND22	0	394360	0	0	0	0	0	2382400	875540	4850400	5105600	7492700	15555000	24072000	43935000	49772000	80390000	90938000	74925000	31365000	4315600	19228000	15383000	8557900	11902000	10483000	16688000	17413000	21274000	12078000	20113000	27023000	32157000	40461000	35700000	47581000	25706000	23142000	6058400	5270800	4438100	2939900	0	0	0	0	0	0	0	0	0	0	949680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y3D5;H0YAG5;D6RCM2	0	0	0	0	0	0	0	0	0	0	0	2381800	6342200	16726000	20604000	21411000	26019000	44847000	41043000	27185000	2028800	3172500	1951500	0	2490400	0	0	2833800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y3D6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859930	0	0	0	0	0	0	0	4613700	6806100	3041600	3056300	2076800	995130	2950800	2414800	1471500	961340	2241800	988490	1055600	871780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y3D9;J3QLR8	0	0	0	0	0	0	0	1450000	1872000	2668800	4061700	11482000	22389000	51415000	63515000	77561000	115060000	148630000	135010000	110770000	12072000	51967000	45004000	26482000	21612000	16727000	18032000	8754000	8071200	3224100	2752900	2046500	1789100	1525100	2689600	2358800	0	2029300	1375600	827290	1881800	2632900	0	0	0	347700	284200	671700	0	1032400	556500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132280	0	0	0
