Uniprot ID	iBAQ WT_5_01	iBAQ WT_5_02	iBAQ WT_5_03	iBAQ WT_5_04	iBAQ WT_5_05	iBAQ WT_5_06	iBAQ WT_5_07	iBAQ WT_5_08	iBAQ WT_5_09	iBAQ WT_5_10	iBAQ WT_5_11	iBAQ WT_5_12	iBAQ WT_5_14	iBAQ WT_5_15	iBAQ WT_5_16	iBAQ WT_5_17	iBAQ WT_5_18	iBAQ WT_5_19	iBAQ WT_5_20	iBAQ WT_5_21	iBAQ WT_5_22	iBAQ WT_5_23	iBAQ WT_5_24	iBAQ WT_5_25	iBAQ WT_5_26	iBAQ WT_5_27	iBAQ WT_5_28	iBAQ WT_5_29	iBAQ WT_5_30	iBAQ WT_5_31	iBAQ WT_5_32	iBAQ WT_5_33	iBAQ WT_5_34	iBAQ WT_5_35	iBAQ WT_5_36	iBAQ WT_5_37	iBAQ WT_5_38	iBAQ WT_5_39	iBAQ WT_5_40	iBAQ WT_5_41	iBAQ WT_5_42	iBAQ WT_5_43	iBAQ WT_5_44	iBAQ WT_5_45	iBAQ WT_5_46	iBAQ WT_5_47	iBAQ WT_5_48	iBAQ WT_5_49	iBAQ WT_5_50	iBAQ WT_5_51	iBAQ WT_5_52	iBAQ WT_5_53	iBAQ WT_5_54	iBAQ WT_5_55	iBAQ WT_5_56	iBAQ WT_5_57	iBAQ WT_5_58	iBAQ WT_5_59	iBAQ WT_5_60	iBAQ WT_5_61	iBAQ WT_5_62	iBAQ WT_5_63	iBAQ WT_5_64	iBAQ WT_5_65	iBAQ WT_5_66	iBAQ WT_5_67	iBAQ WT_5_68	iBAQ WT_5_69	iBAQ WT_5_70	iBAQ WT_5_71	iBAQ WT_5_72
O75394	0	0	0	0	0	0	6810700	0	12362000	32929000	63439000	76742000	117280000	8729500	0	312860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75431;C9JNK6;C9JAZ1	0	2208500	6327000	14026000	28687000	13982000	23104000	19002000	15049000	13672000	11844000	13719000	51129000	56519000	42017000	39691000	13145000	12820000	7329000	7223100	797860	673330	496520	591110	340210	0	0	0	0	0	0	663780	1117100	1359300	894560	5285100	3987700	2198300	958250	4025800	3772800	1990300	1134000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75438	0	0	0	6785700	8083700	3310900	4498500	4471800	6043200	26169000	92383000	136590000	4597000	8151000	10616000	6684400	4527700	7786500	1873800	0	1936800	4309800	1311000	3882300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75439;G3V0E4	0	862910	0	0	0	153570	0	227760	175400	0	0	0	493960	517410	0	196110	0	0	0	0	0	0	0	580490	0	0	214600	0	204600	0	0	0	0	0	125720	0	0	0	0	0	0	168880	151660	0	0	0	228080	0	103120	786300	425140	0	0	0	122110	0	165200	447860	490780	560990	1899500	4436700	14634000	4486600	292400	0	0	0	0	15727	0
O75489	0	2387600	3142800	18638000	37281000	20276000	20450000	17998000	29483000	163590000	224910000	342150000	58248000	34890000	30232000	29354000	16188000	10352000	13887000	24686000	11303000	3286100	5460300	14771000	20707000	10630000	22443000	32981000	18488000	16398000	18349000	4897800	5397900	7335900	3883800	4856000	1095000	3936900	1876000	2203500	11064000	11482000	2291000	0	92892	1380000	4502900	1189800	234780	328160	1178600	0	5061400	300310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75600;H7BZ75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316190	0	376960	270890	0	0	0	0	0	0	0	0	0	0	0	0	0
O75616;J3QSB2;J3QRV9	0	0	0	0	0	0	0	0	191680	400360	415140	656310	6036200	4322800	2109400	857880	392070	619600	397800	898870	609640	668910	662390	1123800	797600	0	0	384320	253060	0	320660	0	0	0	192100	1111400	305640	261750	198300	201540	178440	174980	176290	0	0	179830	234430	0	0	153860	173180	0	0	0	0	0	0	0	823030	998090	391360	2036600	610620	162640	0	20043	0	0	0	0	0
O75648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563200	1402500	1288000	0	55306	0	0	0	0	0	0	0	0	0
O75746	0	0	748390	315310	114850	0	248910	0	0	0	0	0	133140	0	0	0	0	0	0	197520	454850	394590	449680	1937600	671410	1297300	5915000	6672300	9549800	7980800	21942000	18797000	15312000	13130000	3435600	4719200	222770	0	55254	108000	20833	30070	0	0	0	0	0	0	19454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19510	94098	0	0	0	0	0	0	30660	0	0	0	0	0	0	0	0	0	0
